MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.3-1 , Train Loss: 0.0053, Train Accuracy: 96.71, Validation Loss: 0.4524, Validation Accuracy: 71.81%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.5-1 , Train Loss: 0.0140, Train Accuracy: 96.91, Validation Loss: 0.4882, Validation Accuracy: 69.14%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.7-1 , Train Loss: 0.0118, Train Accuracy: 96.61, Validation Loss: 0.6034, Validation Accuracy: 61.81%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.8-1 , Train Loss: 0.0193, Train Accuracy: 97.19, Validation Loss: 0.6183, Validation Accuracy: 61.01%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.9-1 , Train Loss: 0.0467, Train Accuracy: 97.96, Validation Loss: 0.6919, Validation Accuracy: 54.34%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.95-1 , Train Loss: 0.0502, Train Accuracy: 98.36, Validation Loss: 0.7637, Validation Accuracy: 48.68%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0-2 , Train Loss: 0.0067, Train Accuracy: 96.50, Validation Loss: 0.3752, Validation Accuracy: 76.59%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.3-2 , Train Loss: 0.0063, Train Accuracy: 96.50, Validation Loss: 0.4872, Validation Accuracy: 69.49%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.5-2 , Train Loss: 0.0157, Train Accuracy: 96.86, Validation Loss: 0.4881, Validation Accuracy: 68.94%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.7-2 , Train Loss: 0.0071, Train Accuracy: 96.84, Validation Loss: 0.5692, Validation Accuracy: 63.78%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.8-2 , Train Loss: 0.0192, Train Accuracy: 97.44, Validation Loss: 0.6646, Validation Accuracy: 57.74%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.9-2 , Train Loss: 0.0460, Train Accuracy: 98.00, Validation Loss: 0.7765, Validation Accuracy: 49.61%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.95-2 , Train Loss: 0.0563, Train Accuracy: 97.76, Validation Loss: 0.7657, Validation Accuracy: 48.12%

MODEL:resnet18-CIFAR10-random-0-1 , Train Loss: 0.0068, Train Accuracy: 98.10, Validation Loss: 1.3060, Validation Accuracy: 74.00%
MODEL:resnet18-CIFAR10-random-0.3-1 , Train Loss: 0.0043, Train Accuracy: 98.35, Validation Loss: 1.4204, Validation Accuracy: 71.69%
MODEL:resnet18-CIFAR10-random-0.5-1 , Train Loss: 0.0133, Train Accuracy: 98.47, Validation Loss: 1.6820, Validation Accuracy: 67.31%
MODEL:resnet18-CIFAR10-random-0.7-1 , Train Loss: 0.0110, Train Accuracy: 97.89, Validation Loss: 1.9499, Validation Accuracy: 62.35%
MODEL:resnet18-CIFAR10-random-0.8-1 , Train Loss: 0.0190, Train Accuracy: 98.10, Validation Loss: 2.0625, Validation Accuracy: 60.34%
MODEL:resnet18-CIFAR10-random-0.9-1 , Train Loss: 0.0822, Train Accuracy: 97.64, Validation Loss: 2.4094, Validation Accuracy: 52.62%
MODEL:resnet18-CIFAR10-random-0.95-1 , Train Loss: 0.1399, Train Accuracy: 96.76, Validation Loss: 2.7274, Validation Accuracy: 45.29%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0-1 , Train Loss: 0.0082, Train Accuracy: 96.25, Validation Loss: 0.4111, Validation Accuracy: 74.16%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.3-1 , Train Loss: 0.0062, Train Accuracy: 96.67, Validation Loss: 0.4406, Validation Accuracy: 72.49%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.5-1 , Train Loss: 0.0167, Train Accuracy: 96.83, Validation Loss: 0.4892, Validation Accuracy: 69.46%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.7-1 , Train Loss: 0.0106, Train Accuracy: 96.67, Validation Loss: 0.5735, Validation Accuracy: 63.48%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.8-1 , Train Loss: 0.0220, Train Accuracy: 97.35, Validation Loss: 0.6165, Validation Accuracy: 60.44%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.9-1 , Train Loss: 0.0505, Train Accuracy: 98.00, Validation Loss: 0.6980, Validation Accuracy: 53.95%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.95-1 , Train Loss: 0.0687, Train Accuracy: 96.88, Validation Loss: 0.8018, Validation Accuracy: 46.14%

MODEL:resnet18-EvidenceLoss-CIFAR10-random-0-2 , Train Loss: 0.0084, Train Accuracy: 96.24, Validation Loss: 0.3914, Validation Accuracy: 75.81%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.3-2 , Train Loss: 0.0061, Train Accuracy: 96.54, Validation Loss: 0.4450, Validation Accuracy: 71.94%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.5-2 , Train Loss: 0.0170, Train Accuracy: 96.56, Validation Loss: 0.4651, Validation Accuracy: 70.57%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.7-2 , Train Loss: 0.0086, Train Accuracy: 96.83, Validation Loss: 0.5618, Validation Accuracy: 64.39%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.8-2 , Train Loss: 0.0203, Train Accuracy: 97.18, Validation Loss: 0.6115, Validation Accuracy: 60.97%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.9-2 , Train Loss: 0.0483, Train Accuracy: 98.12, Validation Loss: 0.6862, Validation Accuracy: 54.46%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.95-2 , Train Loss: 0.0603, Train Accuracy: 97.64, Validation Loss: 0.7712, Validation Accuracy: 47.72%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0-2 , Train Loss: 0.0061, Train Accuracy: 98.08, Validation Loss: 1.1665, Validation Accuracy: 75.38%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.3-2 , Train Loss: 0.0060, Train Accuracy: 98.35, Validation Loss: 1.5025, Validation Accuracy: 70.68%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.5-2 , Train Loss: 0.0147, Train Accuracy: 98.39, Validation Loss: 1.6011, Validation Accuracy: 69.22%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.7-2 , Train Loss: 0.0081, Train Accuracy: 98.28, Validation Loss: 1.9629, Validation Accuracy: 62.36%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.8-2 , Train Loss: 0.0263, Train Accuracy: 97.23, Validation Loss: 2.2696, Validation Accuracy: 57.51%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.9-2 , Train Loss: 0.0325, Train Accuracy: 98.94, Validation Loss: 2.6958, Validation Accuracy: 51.35%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.95-2 , Train Loss: 0.0128, Train Accuracy: 99.76, Validation Loss: 2.7513, Validation Accuracy: 46.05%







MODEL:resnet18_CIFAR10_Evidence_2 , Train Loss: 0.0078, Train Accuracy: 96.55, Validation Loss: 0.3896, Validation Accuracy: 75.52%
MODEL:resnet18_CIFAR10_2 , Train Loss: 0.0084, Train Accuracy: 96.46, Validation Loss: 0.3991, Validation Accuracy: 74.81%
MODEL:resnet18-CIFAR10-random-0-2 , Train Loss: 0.0062, Train Accuracy: 98.15, Validation Loss: 1.2557, Validation Accuracy: 74.38%
MODEL:resnet18-CIFAR10-random-0.3-2 , Train Loss: 0.0055, Train Accuracy: 98.28, Validation Loss: 1.3823, Validation Accuracy: 72.05%
MODEL:resnet18-CIFAR10-random-0.5-2 , Train Loss: 0.0142, Train Accuracy: 98.28, Validation Loss: 1.6887, Validation Accuracy: 67.57%
MODEL:resnet18-CIFAR10-random-0.7-2 , Train Loss: 0.0083, Train Accuracy: 98.29, Validation Loss: 1.8810, Validation Accuracy: 64.41%
MODEL:resnet18-CIFAR10-random-0.8-2 , Train Loss: 0.0257, Train Accuracy: 97.21, Validation Loss: 2.2573, Validation Accuracy: 57.30%
MODEL:resnet18-CIFAR10-random-0.9-2 , Train Loss: 0.0188, Train Accuracy: 99.76, Validation Loss: 2.5134, Validation Accuracy: 51.57%
MODEL:resnet18-CIFAR10-random-0.95-2 , Train Loss: 0.1439, Train Accuracy: 96.08, Validation Loss: 2.7983, Validation Accuracy: 44.29%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0-2 , Train Loss: 0.0084, Train Accuracy: 96.24, Validation Loss: 0.3914, Validation Accuracy: 75.81%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.3-2 , Train Loss: 0.0061, Train Accuracy: 96.54, Validation Loss: 0.4450, Validation Accuracy: 71.94%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.5-2 , Train Loss: 0.0170, Train Accuracy: 96.56, Validation Loss: 0.4651, Validation Accuracy: 70.57%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.7-2 , Train Loss: 0.0086, Train Accuracy: 96.83, Validation Loss: 0.5618, Validation Accuracy: 64.39%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.8-2 , Train Loss: 0.0203, Train Accuracy: 97.18, Validation Loss: 0.6115, Validation Accuracy: 60.97%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.9-2 , Train Loss: 0.0483, Train Accuracy: 98.12, Validation Loss: 0.6862, Validation Accuracy: 54.46%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.95-2 , Train Loss: 0.0603, Train Accuracy: 97.64, Validation Loss: 0.7712, Validation Accuracy: 47.72%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0-2 , Train Loss: 0.0061, Train Accuracy: 98.08, Validation Loss: 1.1665, Validation Accuracy: 75.38%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.3-2 , Train Loss: 0.0060, Train Accuracy: 98.35, Validation Loss: 1.5025, Validation Accuracy: 70.68%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.5-2 , Train Loss: 0.0147, Train Accuracy: 98.39, Validation Loss: 1.6011, Validation Accuracy: 69.22%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.7-2 , Train Loss: 0.0081, Train Accuracy: 98.28, Validation Loss: 1.9629, Validation Accuracy: 62.36%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.8-2 , Train Loss: 0.0263, Train Accuracy: 97.23, Validation Loss: 2.2696, Validation Accuracy: 57.51%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.9-2 , Train Loss: 0.0325, Train Accuracy: 98.94, Validation Loss: 2.6958, Validation Accuracy: 51.35%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.95-2 , Train Loss: 0.0128, Train Accuracy: 99.76, Validation Loss: 2.7513, Validation Accuracy: 46.05%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0-2 , Train Loss: 0.0078, Train Accuracy: 96.28, Validation Loss: 0.3928, Validation Accuracy: 75.34%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.3-2 , Train Loss: 0.0057, Train Accuracy: 96.75, Validation Loss: 0.4488, Validation Accuracy: 71.86%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.5-2 , Train Loss: 0.0160, Train Accuracy: 96.98, Validation Loss: 0.4903, Validation Accuracy: 69.25%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.7-2 , Train Loss: 0.0086, Train Accuracy: 97.35, Validation Loss: 0.5482, Validation Accuracy: 65.27%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.8-2 , Train Loss: 0.0183, Train Accuracy: 97.48, Validation Loss: 0.6204, Validation Accuracy: 60.29%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.9-2 , Train Loss: 0.0470, Train Accuracy: 98.04, Validation Loss: 0.7260, Validation Accuracy: 52.60%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.95-2 , Train Loss: 0.0898, Train Accuracy: 96.56, Validation Loss: 0.7910, Validation Accuracy: 46.54%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0-2 , Train Loss: 0.0072, Train Accuracy: 97.97, Validation Loss: 1.1865, Validation Accuracy: 74.87%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.3-2 , Train Loss: 0.0049, Train Accuracy: 98.20, Validation Loss: 1.3981, Validation Accuracy: 72.02%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.5-2 , Train Loss: 0.0112, Train Accuracy: 98.35, Validation Loss: 1.7022, Validation Accuracy: 68.00%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.7-2 , Train Loss: 0.0081, Train Accuracy: 98.12, Validation Loss: 1.9885, Validation Accuracy: 61.98%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.8-2 , Train Loss: 0.0167, Train Accuracy: 98.51, Validation Loss: 2.2304, Validation Accuracy: 58.42%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.9-2 , Train Loss: 0.0224, Train Accuracy: 99.29, Validation Loss: 2.7744, Validation Accuracy: 50.96%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.95-2 , Train Loss: 0.2389, Train Accuracy: 93.08, Validation Loss: 2.7719, Validation Accuracy: 43.96%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0-2 , Train Loss: 0.0084, Train Accuracy: 96.18, Validation Loss: 0.4041, Validation Accuracy: 74.85%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.3-2 , Train Loss: 0.0059, Train Accuracy: 96.46, Validation Loss: 0.4476, Validation Accuracy: 72.03%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.5-2 , Train Loss: 0.0147, Train Accuracy: 97.01, Validation Loss: 0.4897, Validation Accuracy: 69.33%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.7-2 , Train Loss: 0.0097, Train Accuracy: 97.52, Validation Loss: 0.5900, Validation Accuracy: 62.77%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.8-2 , Train Loss: 0.0211, Train Accuracy: 97.14, Validation Loss: 0.6162, Validation Accuracy: 60.50%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.9-2 , Train Loss: 0.0637, Train Accuracy: 97.12, Validation Loss: 0.7390, Validation Accuracy: 51.21%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.95-2 , Train Loss: 0.0554, Train Accuracy: 97.68, Validation Loss: 0.7883, Validation Accuracy: 46.59%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0-2 , Train Loss: 0.0059, Train Accuracy: 97.97, Validation Loss: 1.1023, Validation Accuracy: 76.02%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.3-2 , Train Loss: 0.0038, Train Accuracy: 98.57, Validation Loss: 1.3984, Validation Accuracy: 72.18%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.5-2 , Train Loss: 0.0170, Train Accuracy: 98.30, Validation Loss: 1.7214, Validation Accuracy: 66.36%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.7-2 , Train Loss: 0.0082, Train Accuracy: 98.42, Validation Loss: 1.9148, Validation Accuracy: 63.07%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.8-2 , Train Loss: 0.0174, Train Accuracy: 98.29, Validation Loss: 2.3454, Validation Accuracy: 58.96%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.9-2 , Train Loss: 0.0585, Train Accuracy: 98.02, Validation Loss: 2.7505, Validation Accuracy: 49.36%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.95-2 , Train Loss: 0.0999, Train Accuracy: 99.76, Validation Loss: 2.7073, Validation Accuracy: 45.86%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0-2 , Train Loss: 0.0067, Train Accuracy: 96.50, Validation Loss: 0.3752, Validation Accuracy: 76.59%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.3-2 , Train Loss: 0.0063, Train Accuracy: 96.50, Validation Loss: 0.4872, Validation Accuracy: 69.49%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.5-2 , Train Loss: 0.0157, Train Accuracy: 96.86, Validation Loss: 0.4881, Validation Accuracy: 68.94%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.7-2 , Train Loss: 0.0071, Train Accuracy: 96.84, Validation Loss: 0.5692, Validation Accuracy: 63.78%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.8-2 , Train Loss: 0.0192, Train Accuracy: 97.44, Validation Loss: 0.6646, Validation Accuracy: 57.74%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.9-2 , Train Loss: 0.0460, Train Accuracy: 98.00, Validation Loss: 0.7765, Validation Accuracy: 49.61%
MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0.95-2 , Train Loss: 0.0563, Train Accuracy: 97.76, Validation Loss: 0.7657, Validation Accuracy: 48.12%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0-1 , Train Loss: 0.0032, Train Accuracy: 95.52, Validation Loss: 0.0563, Validation Accuracy: 98.28%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.3-1 , Train Loss: 0.0079, Train Accuracy: 94.84, Validation Loss: 0.0755, Validation Accuracy: 97.62%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.5-1 , Train Loss: 0.0169, Train Accuracy: 94.00, Validation Loss: 0.1208, Validation Accuracy: 96.17%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.7-1 , Train Loss: 0.0452, Train Accuracy: 92.46, Validation Loss: 0.2709, Validation Accuracy: 91.74%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.8-1 , Train Loss: 0.0820, Train Accuracy: 90.65, Validation Loss: 0.1763, Validation Accuracy: 94.60%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.9-1 , Train Loss: 0.3366, Train Accuracy: 88.03, Validation Loss: 0.1348, Validation Accuracy: 95.78%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.95-1 , Train Loss: 0.4324, Train Accuracy: 82.80, Validation Loss: 0.7658, Validation Accuracy: 79.38%



MODEL:resnet18_CIFAR10_Evidence_3 , Train Loss: 0.0081, Train Accuracy: 96.40, Validation Loss: 0.3836, Validation Accuracy: 75.99%
MODEL:resnet18_MNIST , Train Loss: 0.0007, Train Accuracy: 99.70, Validation Loss: 0.0245, Validation Accuracy: 99.04%MODEL:resnet18-CIFAR10-random-0.3-3 , Train Loss: 0.0035, Train Accuracy: 98.53, Validation Loss: 1.4340, Validation Accuracy: 70.89%
MODEL:resnet18-CIFAR10-random-0.5-3 , Train Loss: 0.0158, Train Accuracy: 98.16, Validation Loss: 1.5727, Validation Accuracy: 68.95%
MODEL:resnet18-CIFAR10-random-0.7-3 , Train Loss: 0.0104, Train Accuracy: 97.87, Validation Loss: 1.9013, Validation Accuracy: 63.69%
MODEL:resnet18-CIFAR10-random-0.8-3 , Train Loss: 0.0149, Train Accuracy: 98.51, Validation Loss: 2.4741, Validation Accuracy: 56.72%
MODEL:resnet18-CIFAR10-random-0.9-3 , Train Loss: 0.0630, Train Accuracy: 97.94, Validation Loss: 2.4331, Validation Accuracy: 52.37%
MODEL:resnet18-CIFAR10-random-0.95-3 , Train Loss: 0.1956, Train Accuracy: 94.92, Validation Loss: 2.5056, Validation Accuracy: 46.71%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0-3 , Train Loss: 0.0073, Train Accuracy: 96.24, Validation Loss: 0.3934, Validation Accuracy: 75.78%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.3-3 , Train Loss: 0.0070, Train Accuracy: 96.65, Validation Loss: 0.4350, Validation Accuracy: 72.72%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.5-3 , Train Loss: 0.0148, Train Accuracy: 97.08, Validation Loss: 0.4947, Validation Accuracy: 69.40%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.7-3 , Train Loss: 0.0089, Train Accuracy: 97.08, Validation Loss: 0.5935, Validation Accuracy: 62.58%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.8-3 , Train Loss: 0.0233, Train Accuracy: 96.96, Validation Loss: 0.6288, Validation Accuracy: 59.18%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.9-3 , Train Loss: 0.0469, Train Accuracy: 98.14, Validation Loss: 0.6927, Validation Accuracy: 54.36%
MODEL:resnet18-EvidenceLoss-CIFAR10-random-0.95-3 , Train Loss: 0.1694, Train Accuracy: 90.40, Validation Loss: 0.8415, Validation Accuracy: 43.36%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0-3 , Train Loss: 0.0051, Train Accuracy: 98.46, Validation Loss: 1.1583, Validation Accuracy: 75.86%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.3-3 , Train Loss: 0.0051, Train Accuracy: 98.59, Validation Loss: 1.5435, Validation Accuracy: 69.55%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.5-3 , Train Loss: 0.0178, Train Accuracy: 98.08, Validation Loss: 1.5750, Validation Accuracy: 68.26%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.7-3 , Train Loss: 0.0151, Train Accuracy: 97.09, Validation Loss: 1.8562, Validation Accuracy: 61.86%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.8-3 , Train Loss: 0.0237, Train Accuracy: 98.02, Validation Loss: 2.4156, Validation Accuracy: 55.66%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.9-3 , Train Loss: 0.0474, Train Accuracy: 98.24, Validation Loss: 2.8547, Validation Accuracy: 50.46%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.95-3 , Train Loss: 0.2542, Train Accuracy: 92.28, Validation Loss: 2.6183, Validation Accuracy: 43.42%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0-3 , Train Loss: 0.0079, Train Accuracy: 96.34, Validation Loss: 0.3962, Validation Accuracy: 74.85%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.3-3 , Train Loss: 0.0056, Train Accuracy: 96.84, Validation Loss: 0.4584, Validation Accuracy: 71.39%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.5-3 , Train Loss: 0.0148, Train Accuracy: 97.02, Validation Loss: 0.4801, Validation Accuracy: 69.67%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.7-3 , Train Loss: 0.0096, Train Accuracy: 96.78, Validation Loss: 0.5971, Validation Accuracy: 62.23%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.8-3 , Train Loss: 0.0203, Train Accuracy: 97.40, Validation Loss: 0.6792, Validation Accuracy: 56.61%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.9-3 , Train Loss: 0.0461, Train Accuracy: 98.02, Validation Loss: 0.7010, Validation Accuracy: 53.86%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.95-3 , Train Loss: 0.0764, Train Accuracy: 97.12, Validation Loss: 0.8092, Validation Accuracy: 45.24%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0-3 , Train Loss: 0.0067, Train Accuracy: 98.11, Validation Loss: 1.1898, Validation Accuracy: 75.02%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.3-3 , Train Loss: 0.0054, Train Accuracy: 98.11, Validation Loss: 1.3331, Validation Accuracy: 71.85%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.5-3 , Train Loss: 0.0130, Train Accuracy: 98.35, Validation Loss: 1.6629, Validation Accuracy: 67.77%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.7-3 , Train Loss: 0.0092, Train Accuracy: 98.37, Validation Loss: 1.9127, Validation Accuracy: 64.09%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.8-3 , Train Loss: 0.0199, Train Accuracy: 98.41, Validation Loss: 2.5080, Validation Accuracy: 56.77%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.9-3 , Train Loss: 0.0059, Train Accuracy: 99.78, Validation Loss: 2.6247, Validation Accuracy: 54.05%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.95-3 , Train Loss: 0.3754, Train Accuracy: 89.16, Validation Loss: 2.7103, Validation Accuracy: 41.56%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0-3 , Train Loss: 0.0086, Train Accuracy: 96.24, Validation Loss: 0.3905, Validation Accuracy: 75.65%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.3-3 , Train Loss: 0.0065, Train Accuracy: 96.66, Validation Loss: 0.4456, Validation Accuracy: 71.93%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.5-3 , Train Loss: 0.0158, Train Accuracy: 96.89, Validation Loss: 0.4907, Validation Accuracy: 69.42%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.7-3 , Train Loss: 0.0090, Train Accuracy: 97.07, Validation Loss: 0.5605, Validation Accuracy: 64.59%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.8-3 , Train Loss: 0.0223, Train Accuracy: 97.40, Validation Loss: 0.6751, Validation Accuracy: 56.77%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.9-3 , Train Loss: 0.0409, Train Accuracy: 98.37, Validation Loss: 0.7017, Validation Accuracy: 53.72%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.95-3 , Train Loss: 0.0696, Train Accuracy: 97.32, Validation Loss: 0.7897, Validation Accuracy: 46.55%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0-3 , Train Loss: 0.0051, Train Accuracy: 98.29, Validation Loss: 1.1657, Validation Accuracy: 75.99%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.3-3 , Train Loss: 0.0049, Train Accuracy: 98.43, Validation Loss: 1.4176, Validation Accuracy: 71.94%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.5-3 , Train Loss: 0.0146, Train Accuracy: 98.13, Validation Loss: 1.7019, Validation Accuracy: 68.23%
