    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.8-1 , Train Loss: 0.0834, Train Accuracy: 91.08, Validation Loss: 0.1898, Validation Accuracy: 94.96%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.9-1 , Train Loss: 0.3498, Train Accuracy: 87.81, Validation Loss: 0.3322, Validation Accuracy: 89.93%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.95-1 , Train Loss: 0.4596, Train Accuracy: 81.83, Validation Loss: 0.3378, Validation Accuracy: 89.29%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0-1 , Train Loss: 0.0021, Train Accuracy: 95.88, Validation Loss: 0.0538, Validation Accuracy: 97.75%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.3-1 , Train Loss: 0.0061, Train Accuracy: 95.12, Validation Loss: 0.0806, Validation Accuracy: 95.90%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.5-1 , Train Loss: 0.0122, Train Accuracy: 94.19, Validation Loss: 0.0643, Validation Accuracy: 97.18%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.7-1 , Train Loss: 0.0296, Train Accuracy: 93.33, Validation Loss: 0.0784, Validation Accuracy: 96.37%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.8-1 , Train Loss: 0.0548, Train Accuracy: 91.63, Validation Loss: 0.2118, Validation Accuracy: 86.94%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.9-1 , Train Loss: 0.2357, Train Accuracy: 89.83, Validation Loss: 0.1206, Validation Accuracy: 95.13%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.95-1 , Train Loss: 0.3293, Train Accuracy: 84.57, Validation Loss: 0.2232, Validation Accuracy: 87.80%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0-1 , Train Loss: 0.0033, Train Accuracy: 95.66, Validation Loss: 0.1114, Validation Accuracy: 96.35%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.3-1 , Train Loss: 0.0084, Train Accuracy: 94.74, Validation Loss: 0.1607, Validation Accuracy: 95.19%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.5-1 , Train Loss: 0.0158, Train Accuracy: 94.04, Validation Loss: 0.0993, Validation Accuracy: 96.87%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.7-1 , Train Loss: 0.0431, Train Accuracy: 92.55, Validation Loss: 0.1975, Validation Accuracy: 93.67%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.8-1 , Train Loss: 0.0864, Train Accuracy: 90.99, Validation Loss: 0.1691, Validation Accuracy: 94.91%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.9-1 , Train Loss: 0.3345, Train Accuracy: 88.08, Validation Loss: 0.3463, Validation Accuracy: 89.77%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.95-1 , Train Loss: 0.4719, Train Accuracy: 82.03, Validation Loss: 0.4489, Validation Accuracy: 86.35%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0-1 , Train Loss: 0.0023, Train Accuracy: 95.75, Validation Loss: 0.0566, Validation Accuracy: 97.51%
