MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.95-1 , Train Loss: 0.4008, Train Accuracy: 81.53, Validation Loss: 0.2086, Validation Accuracy: 93.02%
MODEL:resnet18_MNIST_E1_2 , Train Loss: 0.0023, Train Accuracy: 95.74, Validation Loss: 0.0448, Validation Accuracy: 98.33%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.3-2 , Train Loss: 0.0058, Train Accuracy: 94.79, Validation Loss: 0.0538, Validation Accuracy: 97.99%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.5-2 , Train Loss: 0.0112, Train Accuracy: 94.34, Validation Loss: 0.0666, Validation Accuracy: 97.31%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.7-2 , Train Loss: 0.0286, Train Accuracy: 93.04, Validation Loss: 0.0988, Validation Accuracy: 95.50%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.8-2 , Train Loss: 0.0631, Train Accuracy: 91.33, Validation Loss: 0.1455, Validation Accuracy: 93.12%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.9-2 , Train Loss: 0.2922, Train Accuracy: 87.30, Validation Loss: 0.1626, Validation Accuracy: 93.28%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.95-2 , Train Loss: 0.4003, Train Accuracy: 82.60, Validation Loss: 0.2212, Validation Accuracy: 91.53%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.3-2 , Train Loss: 0.0053, Train Accuracy: 95.13, Validation Loss: 0.0573, Validation Accuracy: 97.73%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.5-2 , Train Loss: 0.0115, Train Accuracy: 94.42, Validation Loss: 0.0625, Validation Accuracy: 97.60%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.7-2 , Train Loss: 0.0287, Train Accuracy: 93.06, Validation Loss: 0.0774, Validation Accuracy: 97.01%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.8-2 , Train Loss: 0.0605, Train Accuracy: 90.54, Validation Loss: 0.1230, Validation Accuracy: 94.63%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.9-2 , Train Loss: 0.2896, Train Accuracy: 88.46, Validation Loss: 0.1728, Validation Accuracy: 92.51%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.95-2 , Train Loss: 0.4040, Train Accuracy: 81.93, Validation Loss: 0.2076, Validation Accuracy: 93.37%
MODEL:resnet18_MNIST_E1_3 , Train Loss: 0.0024, Train Accuracy: 95.93, Validation Loss: 0.0515, Validation Accuracy: 97.90%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.3-3 , Train Loss: 0.0065, Train Accuracy: 95.09, Validation Loss: 0.0530, Validation Accuracy: 97.88%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.5-3 , Train Loss: 0.0118, Train Accuracy: 94.24, Validation Loss: 0.0592, Validation Accuracy: 97.82%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.7-3 , Train Loss: 0.0291, Train Accuracy: 92.92, Validation Loss: 0.0919, Validation Accuracy: 96.07%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.8-3 , Train Loss: 0.0589, Train Accuracy: 92.07, Validation Loss: 0.0975, Validation Accuracy: 96.29%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.9-3 , Train Loss: 0.2883, Train Accuracy: 87.91, Validation Loss: 0.1751, Validation Accuracy: 92.11%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.95-3 , Train Loss: 0.3996, Train Accuracy: 81.23, Validation Loss: 0.2128, Validation Accuracy: 92.54%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.3-3 , Train Loss: 0.0063, Train Accuracy: 95.20, Validation Loss: 0.0658, Validation Accuracy: 97.05%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.5-3 , Train Loss: 0.0113, Train Accuracy: 94.40, Validation Loss: 0.0781, Validation Accuracy: 96.53%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.7-3 , Train Loss: 0.0293, Train Accuracy: 92.88, Validation Loss: 0.0838, Validation Accuracy: 96.65%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.8-3 , Train Loss: 0.0590, Train Accuracy: 91.63, Validation Loss: 0.0998, Validation Accuracy: 96.10%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.9-3 , Train Loss: 0.2877, Train Accuracy: 88.24, Validation Loss: 0.1481, Validation Accuracy: 94.52%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.95-3 , Train Loss: 0.3973, Train Accuracy: 81.50, Validation Loss: 0.2524, Validation Accuracy: 88.30%
MODEL:resnet18_MNIST_E1_1 , Train Loss: 0.0024, Train Accuracy: 95.70, Validation Loss: 0.0504, Validation Accuracy: 97.96%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.3-1 , Train Loss: 0.0067, Train Accuracy: 95.08, Validation Loss: 0.0646, Validation Accuracy: 97.32%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.5-1 , Train Loss: 0.0117, Train Accuracy: 94.56, Validation Loss: 0.0576, Validation Accuracy: 97.84%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.7-1 , Train Loss: 0.0295, Train Accuracy: 92.62, Validation Loss: 0.0903, Validation Accuracy: 96.06%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.8-1 , Train Loss: 0.0617, Train Accuracy: 91.20, Validation Loss: 0.0976, Validation Accuracy: 96.49%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.9-1 , Train Loss: 0.2876, Train Accuracy: 87.68, Validation Loss: 0.1767, Validation Accuracy: 92.21%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.95-1 , Train Loss: 0.3984, Train Accuracy: 82.73, Validation Loss: 0.2844, Validation Accuracy: 86.76%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-median-0.3-1 , Train Loss: 0.0039, Train Accuracy: 97.38, Validation Loss: 0.0581, Validation Accuracy: 97.58%
