MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.8 , Train Loss: 0.0527, Train Accuracy: 91.60, Validation Loss: 0.0956, Validation Accuracy: 95.86%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.9 , Train Loss: 0.2367, Train Accuracy: 89.81, Validation Loss: 0.1592, Validation Accuracy: 92.39%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.95 , Train Loss: 0.3240, Train Accuracy: 85.70, Validation Loss: 0.2062, Validation Accuracy: 90.00%

MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0 , Train Loss: 0.0025, Train Accuracy: 95.71, Validation Loss: 0.0513, Validation Accuracy: 97.88%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.3 , Train Loss: 0.0056, Train Accuracy: 95.04, Validation Loss: 0.0622, Validation Accuracy: 97.22%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.5 , Train Loss: 0.0118, Train Accuracy: 94.24, Validation Loss: 0.0619, Validation Accuracy: 97.40%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.7 , Train Loss: 0.0256, Train Accuracy: 93.14, Validation Loss: 0.0815, Validation Accuracy: 96.14%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.8 , Train Loss: 0.0514, Train Accuracy: 91.83, Validation Loss: 0.0857, Validation Accuracy: 96.31%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.9 , Train Loss: 0.2481, Train Accuracy: 89.02, Validation Loss: 0.1108, Validation Accuracy: 95.74%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.95 , Train Loss: 0.3300, Train Accuracy: 84.57, Validation Loss: 0.2637, Validation Accuracy: 83.96%

MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0 , Train Loss: 0.0021, Train Accuracy: 95.69, Validation Loss: 0.0498, Validation Accuracy: 98.00%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.3 , Train Loss: 0.0057, Train Accuracy: 95.20, Validation Loss: 0.0647, Validation Accuracy: 96.95%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.5 , Train Loss: 0.0106, Train Accuracy: 94.44, Validation Loss: 0.0770, Validation Accuracy: 96.36%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.7 , Train Loss: 0.0273, Train Accuracy: 93.06, Validation Loss: 0.1529, Validation Accuracy: 91.13%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.8 , Train Loss: 0.0508, Train Accuracy: 91.48, Validation Loss: 0.1058, Validation Accuracy: 94.98%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.9 , Train Loss: 0.2388, Train Accuracy: 89.85, Validation Loss: 0.1669, Validation Accuracy: 91.03%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.95 , Train Loss: 0.3373, Train Accuracy: 84.40, Validation Loss: 0.2187, Validation Accuracy: 88.80%

MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0 , Train Loss: 0.0021, Train Accuracy: 95.80, Validation Loss: 0.0472, Validation Accuracy: 98.15%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.3 , Train Loss: 0.0060, Train Accuracy: 95.03, Validation Loss: 0.0601, Validation Accuracy: 97.41%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.5 , Train Loss: 0.0122, Train Accuracy: 94.34, Validation Loss: 0.0695, Validation Accuracy: 97.03%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.7 , Train Loss: 0.0232, Train Accuracy: 93.24, Validation Loss: 0.0795, Validation Accuracy: 96.48%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.8 , Train Loss: 0.0507, Train Accuracy: 92.10, Validation Loss: 0.1239, Validation Accuracy: 93.53%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.9 , Train Loss: 0.2435, Train Accuracy: 88.97, Validation Loss: 0.1355, Validation Accuracy: 93.64%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.95 , Train Loss: 0.3255, Train Accuracy: 85.57, Validation Loss: 0.2292, Validation Accuracy: 87.62%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0 , Train Loss: 0.0024, Train Accuracy: 95.72, Validation Loss: 0.0478, Validation Accuracy: 98.05%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.3 , Train Loss: 0.0063, Train Accuracy: 95.10, Validation Loss: 0.0606, Validation Accuracy: 97.07%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.5 , Train Loss: 0.0103, Train Accuracy: 94.45, Validation Loss: 0.0570, Validation Accuracy: 97.64%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.7 , Train Loss: 0.0279, Train Accuracy: 93.09, Validation Loss: 0.1056, Validation Accuracy: 94.53%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.8 , Train Loss: 0.0519, Train Accuracy: 92.08, Validation Loss: 0.1106, Validation Accuracy: 94.60%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.9 , Train Loss: 0.2386, Train Accuracy: 89.83, Validation Loss: 0.1249, Validation Accuracy: 94.09%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.95 , Train Loss: 0.3473, Train Accuracy: 82.70, Validation Loss: 0.2905, Validation Accuracy: 83.06%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0 , Train Loss: 0.0029, Train Accuracy: 95.66, Validation Loss: 0.0625, Validation Accuracy: 97.20%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.3 , Train Loss: 0.0063, Train Accuracy: 95.11, Validation Loss: 0.0666, Validation Accuracy: 96.83%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.5 , Train Loss: 0.0105, Train Accuracy: 94.56, Validation Loss: 0.0630, Validation Accuracy: 97.20%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.7 , Train Loss: 0.0303, Train Accuracy: 93.11, Validation Loss: 0.0919, Validation Accuracy: 95.72%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.8 , Train Loss: 0.0529, Train Accuracy: 92.01, Validation Loss: 0.0848, Validation Accuracy: 96.46%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.9 , Train Loss: 0.2438, Train Accuracy: 89.02, Validation Loss: 0.1732, Validation Accuracy: 90.91%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.95 , Train Loss: 0.3223, Train Accuracy: 85.27, Validation Loss: 0.2067, Validation Accuracy: 90.39%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0 , Train Loss: 0.0040, Train Accuracy: 95.52, Validation Loss: 0.0706, Validation Accuracy: 97.67%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.3 , Train Loss: 0.0095, Train Accuracy: 94.91, Validation Loss: 0.0851, Validation Accuracy: 97.34%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.5 , Train Loss: 0.0183, Train Accuracy: 94.14, Validation Loss: 0.1014, Validation Accuracy: 96.92%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.7 , Train Loss: 0.0451, Train Accuracy: 92.41, Validation Loss: 0.1342, Validation Accuracy: 95.98%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.8 , Train Loss: 0.0805, Train Accuracy: 91.07, Validation Loss: 0.1874, Validation Accuracy: 94.35%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.9 , Train Loss: 0.3872, Train Accuracy: 86.58, Validation Loss: 0.2130, Validation Accuracy: 93.19%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.95 , Train Loss: 0.4697, Train Accuracy: 81.43, Validation Loss: 0.5174, Validation Accuracy: 83.38%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0 , Train Loss: 0.0035, Train Accuracy: 95.69, Validation Loss: 0.0587, Validation Accuracy: 98.25%
MODEL:resnet18_MNIST , Train Loss: 0.0039, Train Accuracy: 95.53, Validation Loss: 0.0674, Validation Accuracy: 98.00%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0-1 , Train Loss: 0.0034, Train Accuracy: 95.71, Validation Loss: 0.0455, Validation Accuracy: 98.52%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.3-1 , Train Loss: 0.0085, Train Accuracy: 94.82, Validation Loss: 0.0845, Validation Accuracy: 97.31%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.5-1 , Train Loss: 0.0158, Train Accuracy: 94.07, Validation Loss: 0.1129, Validation Accuracy: 96.49%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0-1 , Train Loss: 0.0036, Train Accuracy: 95.64, Validation Loss: 0.0653, Validation Accuracy: 98.00%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0-1 , Train Loss: 0.0035, Train Accuracy: 95.63, Validation Loss: 0.0732, Validation Accuracy: 97.77%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.3-1 , Train Loss: 0.0072, Train Accuracy: 94.84, Validation Loss: 0.0649, Validation Accuracy: 98.01%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.5-1 , Train Loss: 0.0135, Train Accuracy: 94.16, Validation Loss: 0.1160, Validation Accuracy: 96.67%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.7-1 , Train Loss: 0.0404, Train Accuracy: 92.98, Validation Loss: 0.1283, Validation Accuracy: 95.97%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.8-1 , Train Loss: 0.0795, Train Accuracy: 91.08, Validation Loss: 0.1671, Validation Accuracy: 94.70%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.9-1 , Train Loss: 0.3474, Train Accuracy: 87.54, Validation Loss: 0.3228, Validation Accuracy: 89.43%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.95-1 , Train Loss: 0.4363, Train Accuracy: 83.03, Validation Loss: 0.5368, Validation Accuracy: 84.39%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0- , Train Loss: 0.0027, Train Accuracy: 95.80, Validation Loss: 0.0520, Validation Accuracy: 97.72%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.3- , Train Loss: 0.0052, Train Accuracy: 95.31, Validation Loss: 0.0599, Validation Accuracy: 97.37%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.5- , Train Loss: 0.0109, Train Accuracy: 94.48, Validation Loss: 0.0701, Validation Accuracy: 96.78%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.7- , Train Loss: 0.0274, Train Accuracy: 92.70, Validation Loss: 0.0862, Validation Accuracy: 96.02%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.8- , Train Loss: 0.0525, Train Accuracy: 92.04, Validation Loss: 0.1341, Validation Accuracy: 92.80%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.9- , Train Loss: 0.2383, Train Accuracy: 89.39, Validation Loss: 0.1336, Validation Accuracy: 93.73%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.95- , Train Loss: 0.3364, Train Accuracy: 84.37, Validation Loss: 0.3701, Validation Accuracy: 77.07%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0- , Train Loss: 0.0025, Train Accuracy: 95.84, Validation Loss: 0.0465, Validation Accuracy: 98.06%
