MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.3-2 , Train Loss: 0.0103, Train Accuracy: 96.13, Validation Loss: 1.1706, Validation Accuracy: 73.42%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.5-2 , Train Loss: 0.0400, Train Accuracy: 95.52, Validation Loss: 1.3229, Validation Accuracy: 70.06%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.7-2 , Train Loss: 0.0163, Train Accuracy: 96.53, Validation Loss: 2.2579, Validation Accuracy: 56.36%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.8-2 , Train Loss: 0.0672, Train Accuracy: 94.93, Validation Loss: 1.9343, Validation Accuracy: 56.92%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.9-2 , Train Loss: 0.0951, Train Accuracy: 97.00, Validation Loss: 2.3551, Validation Accuracy: 50.67%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.95-2 , Train Loss: 0.1118, Train Accuracy: 96.71, Validation Loss: 2.8484, Validation Accuracy: 41.90%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.3-2 , Train Loss: 0.0119, Train Accuracy: 96.24, Validation Loss: 1.2499, Validation Accuracy: 70.24%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.5-2 , Train Loss: 0.0279, Train Accuracy: 96.65, Validation Loss: 1.4155, Validation Accuracy: 68.59%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.7-2 , Train Loss: 0.0180, Train Accuracy: 96.96, Validation Loss: 1.7471, Validation Accuracy: 61.78%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.8-2 , Train Loss: 0.0424, Train Accuracy: 96.28, Validation Loss: 2.0157, Validation Accuracy: 58.09%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.9-2 , Train Loss: 0.0940, Train Accuracy: 96.83, Validation Loss: 2.4880, Validation Accuracy: 49.95%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.95-2 , Train Loss: 0.0776, Train Accuracy: 96.96, Validation Loss: 2.6714, Validation Accuracy: 48.30%
