MODEL:resnet18-CIFAR10-predictive_entropy-top-0.9-3 , Train Loss: 0.1281, Train Accuracy: 95.67, Validation Loss: 4.0710, Validation Accuracy: 34.01%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.95-3 , Train Loss: 0.1456, Train Accuracy: 94.79, Validation Loss: 4.7912, Validation Accuracy: 24.25%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.3-3 , Train Loss: 0.0082, Train Accuracy: 96.91, Validation Loss: 1.2962, Validation Accuracy: 70.68%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.5-3 , Train Loss: 0.0221, Train Accuracy: 97.36, Validation Loss: 1.6830, Validation Accuracy: 64.82%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.7-3 , Train Loss: 0.0059, Train Accuracy: 98.31, Validation Loss: 2.1631, Validation Accuracy: 57.56%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.8-3 , Train Loss: 0.0205, Train Accuracy: 98.58, Validation Loss: 2.3088, Validation Accuracy: 55.20%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.9-3 , Train Loss: 0.0255, Train Accuracy: 99.22, Validation Loss: 3.6986, Validation Accuracy: 43.05%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.95-3 , Train Loss: 0.0460, Train Accuracy: 98.40, Validation Loss: 4.7293, Validation Accuracy: 35.45%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.3-3 , Train Loss: 0.0099, Train Accuracy: 95.84, Validation Loss: 1.1500, Validation Accuracy: 73.80%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.5-3 , Train Loss: 0.0320, Train Accuracy: 95.93, Validation Loss: 1.3400, Validation Accuracy: 70.13%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.7-3 , Train Loss: 0.0186, Train Accuracy: 95.72, Validation Loss: 1.6858, Validation Accuracy: 63.73%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.8-3 , Train Loss: 0.0449, Train Accuracy: 95.72, Validation Loss: 2.1282, Validation Accuracy: 57.30%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.9-3 , Train Loss: 0.1370, Train Accuracy: 95.33, Validation Loss: 2.7284, Validation Accuracy: 47.31%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.95-3 , Train Loss: 0.1133, Train Accuracy: 95.79, Validation Loss: 2.9246, Validation Accuracy: 41.79%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.3-3 , Train Loss: 0.0110, Train Accuracy: 96.16, Validation Loss: 1.3127, Validation Accuracy: 70.30%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.5-3 , Train Loss: 0.0335, Train Accuracy: 96.16, Validation Loss: 1.3976, Validation Accuracy: 70.10%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.7-3 , Train Loss: 0.0134, Train Accuracy: 96.03, Validation Loss: 2.2817, Validation Accuracy: 58.48%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.8-3 , Train Loss: 0.0435, Train Accuracy: 96.65, Validation Loss: 2.1132, Validation Accuracy: 58.85%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.9-3 , Train Loss: 0.0816, Train Accuracy: 97.42, Validation Loss: 2.4206, Validation Accuracy: 52.02%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.95-3 , Train Loss: 0.1158, Train Accuracy: 96.15, Validation Loss: 2.8345, Validation Accuracy: 42.02%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.3-3 , Train Loss: 0.0119, Train Accuracy: 95.76, Validation Loss: 1.2047, Validation Accuracy: 73.11%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.5-3 , Train Loss: 0.0330, Train Accuracy: 96.06, Validation Loss: 1.3839, Validation Accuracy: 68.53%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.7-3 , Train Loss: 0.0182, Train Accuracy: 95.82, Validation Loss: 1.6806, Validation Accuracy: 63.45%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.8-3 , Train Loss: 0.0366, Train Accuracy: 96.62, Validation Loss: 1.9924, Validation Accuracy: 59.95%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.9-3 , Train Loss: 0.0940, Train Accuracy: 96.73, Validation Loss: 2.6408, Validation Accuracy: 47.45%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.95-3 , Train Loss: 0.1347, Train Accuracy: 95.43, Validation Loss: 3.0125, Validation Accuracy: 43.95%
