MODEL:resnet18-MNIST-random-0.8-3 , Train Loss: 0.0806, Train Accuracy: 90.73, Validation Loss: 0.1433, Validation Accuracy: 95.47%
MODEL:resnet18-MNIST-random-0.9-3 , Train Loss: 0.3311, Train Accuracy: 88.42, Validation Loss: 0.1987, Validation Accuracy: 93.93%
MODEL:resnet18-MNIST-random-0.95-3 , Train Loss: 0.4339, Train Accuracy: 83.46, Validation Loss: 0.7755, Validation Accuracy: 76.45%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.3-3 , Train Loss: 0.0083, Train Accuracy: 94.74, Validation Loss: 0.1005, Validation Accuracy: 96.72%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.5-3 , Train Loss: 0.0150, Train Accuracy: 93.87, Validation Loss: 0.1381, Validation Accuracy: 95.73%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.7-3 , Train Loss: 0.0334, Train Accuracy: 92.53, Validation Loss: 0.0859, Validation Accuracy: 97.28%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.8-3 , Train Loss: 0.0844, Train Accuracy: 90.69, Validation Loss: 0.2343, Validation Accuracy: 92.80%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.9-3 , Train Loss: 0.3402, Train Accuracy: 88.18, Validation Loss: 0.1388, Validation Accuracy: 95.78%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.95-3 , Train Loss: 0.4455, Train Accuracy: 83.08, Validation Loss: 0.4331, Validation Accuracy: 86.66%
MODEL:resnet18-MNIST-predictive_entropy-top-0.3-3 , Train Loss: 0.0102, Train Accuracy: 93.64, Validation Loss: 0.0798, Validation Accuracy: 97.58%
MODEL:resnet18-MNIST-predictive_entropy-top-0.5-3 , Train Loss: 0.0245, Train Accuracy: 91.36, Validation Loss: 0.0960, Validation Accuracy: 96.76%
MODEL:resnet18-MNIST-predictive_entropy-top-0.7-3 , Train Loss: 0.0707, Train Accuracy: 85.98, Validation Loss: 0.1916, Validation Accuracy: 93.42%
MODEL:resnet18-MNIST-predictive_entropy-top-0.8-3 , Train Loss: 0.1924, Train Accuracy: 81.01, Validation Loss: 0.5446, Validation Accuracy: 81.87%
MODEL:resnet18-MNIST-predictive_entropy-top-0.9-3 , Train Loss: 0.8554, Train Accuracy: 69.64, Validation Loss: 0.3869, Validation Accuracy: 88.01%
MODEL:resnet18-MNIST-predictive_entropy-top-0.95-3 , Train Loss: 1.0905, Train Accuracy: 60.90, Validation Loss: 0.7174, Validation Accuracy: 76.49%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.3-3 , Train Loss: 0.0028, Train Accuracy: 98.16, Validation Loss: 0.2021, Validation Accuracy: 94.07%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.5-3 , Train Loss: 0.0021, Train Accuracy: 98.50, Validation Loss: 0.5609, Validation Accuracy: 87.62%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.7-3 , Train Loss: 0.0044, Train Accuracy: 98.27, Validation Loss: 1.7344, Validation Accuracy: 78.76%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.8-3 , Train Loss: 0.0124, Train Accuracy: 98.13, Validation Loss: 1.6681, Validation Accuracy: 71.19%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.9-3 , Train Loss: 0.0396, Train Accuracy: 97.72, Validation Loss: 2.7181, Validation Accuracy: 61.69%
